Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,1291,1232,1147,1183,1265,1202,1276,1327,1404,1219,1334,1374
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,NARE SUR,219,296,253,269,199,201,217,232,232,220,221,207
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,UNDERRIVER,800,880,849,803,893,834,716,764,841,718,703,705
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,289,274,285,303,313,291,283,287,167,278,276,226
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,CASABE,11363,10968,10281,10223,10178,11257,10669,10729,11066,10799,10509,10602
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,CASABE SUR,2134,2017,2125,2116,1976,2110,2117,2058,2009,2063,2014,1942
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,PEÑAS BLANCAS,1008,976,1071,1108,1060,1067,1187,1189,1075,1042,1146,1096
ANTIOQUIA,SONSÓN,5.826388779,-74.83637623,POINT (-74.83637623 5.826388779),INGENIERIA CONSTRUCCIONES Y EQUIPOS CONEQUIPOS ING S.A.S.,VMM 12,WOLF,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,8583,8856,8665,8558,8225,8053,8151,8141,7974,7692,7855,7919
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,GALEMBO,218,263,229,201,175,173,165,121,96,105,106,134
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MACANA,362,400,354,341,340,342,325,244,231,241,243,259
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MATANEGRA OESTE,0,0,0,0,0,0,0,16,38,36,40,40
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,21124,20791,20803,21055,20473,21320,21792,21436,21163,21003,21053,20978
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO YARUMAL,3769,3549,3646,3676,3457,3394,3491,3538,3311,3308,3341,3411
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,TONINA,16,22,22,24,22,22,22,23,22,24,19,27
